Goober Reason,station_id,wrcc_id,period_record_start,period_record_stop,nesdis_id,station_name,state,county,latitude,longitude,elevation,station_status,class,agency,region,unit,transmit_time,tx_frequency,obs_frequency,site_description,goes,maintenance_standard,time_zone,avg_annual_precip
,520102,SAM1,3/13/2012,12/31/2022,32D663C8,TOA RIDGE,AS,,-14.26471,-170.68700,1270,Active,Permanent,NPS,PACIFIC WEST,NP OF AMERICAN SAMOA,23:40:00,60,60,,West,Yes,SST,223.75
,520103,SAM2,3/15/2012,12/31/2022,32D670BE,SIUFAGA RIDGE,AS,,-14.27614,-170.72186,480,Active,Permanent,NPS,PACIFIC WEST,NP OF AMERICAN SAMOA,23:50:00,60,60,,West,Yes,SST,223.75
,450312,WHUM,1/1/2005,12/31/2022,32465674,HUMPTULLIPS,WA,Grays Harbor,47.37776,-123.76116,2230,Active,Permanent,USFS,06,OLYMPIC NF,8:30:00,60,60,FIRE WX FORECAST ZONE: 652,West,Yes,PST,172.24
,450211,WOWW,1/1/2005,12/31/2022,300033C4,OWL MT,WA,Jefferson,47.76611,-123.96528,3398,Active,Permanent,S&PF,WASHINGTON,DEPT. OF NATURAL RES,0:40:00,60,60,,West,Yes,PST,157.89
,499911,HOAH,8/25/2006,12/31/2022,8379F6FA,OAHU FOREST NWR,HI,Honolulu,21.47747,-157.93694,1666,Active,Permanent,FWS,REGION 1,OAHU NWR,36:40:00,60,60,top of ridge.  helicopter access only.,West,Yes,HST,151.02
,350113,OTID,10/20/2010,12/31/2022,6000C770,TIDEWATER,OR,Clatsop,46.01147,-123.55628,2035,Active,Permanent,S&PF,OREGON,DEPT OF FORESTRY,14:40:00,60,60,,West,Yes,PST,142.8
,350215,OCED,1/1/2005,12/31/2022,3260D140,CEDAR,OR,Tillamook,45.21167,-123.77194,2220,Active,Permanent,USFS,06,SIUSLAW NF,10:50:00,60,60,"THE STATION IS ON A SPUR ROAD IN A 10 YEAR OLD DOUG-FIR
PLANTATION ON THE SOUTH SIDE OF MT. HEBO AT THE HEADWATERS
OF CEDAR CREEK.",West,Yes,PST,142.66
,40105,CSHI,1/1/2005,12/31/2022,328A366A,SHIP MTN,CA,Del Norte,41.72823,-123.79522,5151,Active,Permanent,USFS,05,SIX RIVERS NF,57:34:00,60,60,"Mountain top site. This station is located at the Ship Mtn Lookout site. It was moved from the old lookout site in 2008. Station receives strong coastal influence, including very high winds, fog, drizzle and precipitation. Moderate summer temps are received at this location.",West,Yes,PST,137.85
,451509,WFIN,1/1/2005,12/31/2022,3261B65C,FINNEY CREEK,WA,Skagit,48.39236,-121.81828,2160,Active,Permanent,USFS,06,MT. BAKER/SNOQUALMIE,28:30:00,60,60,FIRE WX FORECAST ZONE 658. Western WA FDOP.,West,Yes,PST,133.62
,501042,AHLM,1/1/2005,12/31/2022,3249009A,SHELTER COVE,AK,Ketchikan Gateway,55.52972,-131.36611,1650,Active,Permanent,USFS,10,TONGASS NF,55:10:00,60,60,"FIRE WX ZONE: 40
RIDGE SITE",West,Yes,AKST,130.22
,350604,OLOG,1/1/2005,12/31/2022,32403D8E,LOG CREEK,OR,Multnomah,45.49658,-121.89646,2800,Active,Permanent,USFS,06,MT. HOOD NF,6:50:00,60,60,FIRE WX FORECAST ZONE: 607,West,Yes,PST,123.53
,501044,AHAI,1/1/2005,12/31/2022,32471784,HAIDA,AK,Prince of Wales-Outer Ketchikan,55.33000,-132.66750,671,Active,Permanent,USFS,10,TONGASS NF,55:00:00,60,60,,West,Yes,AKST,121.92
